vendor,controllotnumber,assay,sublot,va_version,assaytype,bodyfluid,gen_expiry,qc_expiration,mean_conc,level,concconvunit,gen_intro,va_number,lower_limit,upper_limit,stdev_conc
"Thermo Fisher","CXL2013101","TSH","5810","1","MW","S","10/13/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","1","mIU/L","11/4/2020 1:11:43 PM","0","1.2","1.3","1.1"
"Thermo Fisher","CXL2013101","TSH","5825","2","MW","S","10/14/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","1","mIU/L","11/4/2020 1:11:43 PM","0","1.2","1.3","111.1"
"Thermo Fisher","CXL2013101","TT4","2270","1","MW","S","10/30/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","1","nmol/L","11/4/2020 2:11:10 PM","0","3","4","2"
"Thermo Fisher","CXL2013101","TT4","2280","1","MW","S","12/18/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","1","nmol/L","11/4/2020 2:11:10 PM","0","3","4","2"
"Thermo Fisher","CXL2013101","TT4","2290","1","MW","S","3/4/2021 12:00:00 AM","1/31/2021 12:00:00 AM","1","1","nmol/L","11/4/2020 2:11:31 PM","0","3","4","2"
"Thermo Fisher","CXL2013102","TSH","5810","1","MW","S","10/13/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","2","mIU/L","11/4/2020 1:11:43 PM","0","2.2","2.3","2.1"
"Thermo Fisher","CXL2013102","TSH","5825","2","MW","S","10/14/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","2","mIU/L","11/4/2020 1:11:43 PM","0","2.2","2.3","112.1"
"Thermo Fisher","CXL2013102","TT4","2270","1","MW","S","10/30/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","2","nmol/L","11/4/2020 2:11:10 PM","0","4","5","3"
"Thermo Fisher","CXL2013102","TT4","2280","1","MW","S","12/18/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","2","nmol/L","11/4/2020 2:11:10 PM","0","4","5","3"
"Thermo Fisher","CXL2013102","TT4","2290","1","MW","S","3/4/2021 12:00:00 AM","1/31/2021 12:00:00 AM","1","2","nmol/L","11/4/2020 2:11:31 PM","0","4","5","3"
"Thermo Fisher","CXL2013103","TSH","5810","1","MW","S","10/13/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","3","mIU/L","11/4/2020 1:11:43 PM","0","3.2","3.3","3.1"
"Thermo Fisher","CXL2013103","TSH","5825","2","MW","S","10/14/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","3","mIU/L","11/4/2020 1:11:43 PM","0","3.2","3.3","113.1"
"Thermo Fisher","CXL2013103","TT4","2270","1","MW","S","10/30/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","3","nmol/L","11/4/2020 2:11:10 PM","0","5","6","4"
"Thermo Fisher","CXL2013103","TT4","2280","1","MW","S","12/18/2020 12:00:00 AM","1/31/2021 12:00:00 AM","1","3","nmol/L","11/4/2020 2:11:10 PM","0","5","6","4"
"Thermo Fisher","CXL2013103","TT4","2290","1","MW","S","3/4/2021 12:00:00 AM","1/31/2021 12:00:00 AM","1","3","nmol/L","11/4/2020 2:11:31 PM","0","5","6","4"
"Thermo Fisher","CXL2021101","TSH","5810","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5825","1","MW","S","10/15/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:22 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5840","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5845","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5850","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5855","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021101","TSH","5860","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","1","mIU/L","11/17/2020 11:11:20 AM","0","0.021","0.061","0.01"
"Thermo Fisher","CXL2021102","TSH","5810","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5825","1","MW","S","10/15/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:22 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5840","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5845","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5850","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5855","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5860","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021103","TSH","5810","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5825","1","MW","S","10/15/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:22 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5840","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5845","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5850","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5855","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5860","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
